Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change,int_rate_change,une_rate,m_supply_change
1/1/1991,1.18,6.91,6.4,3287.7,0.6,-0.086,-0.66,0.2,16.8
2/1/1991,1.094,6.25,6.6,3304.5,0.1,-0.054,-0.13,0.2,17.4
3/1/1991,1.04,6.12,6.8,3321.9,0.1,0.036,-0.21,-0.1,10.5
4/1/1991,1.076,5.91,6.7,3332.4,0.1,0.05,-0.13,0.2,10.6
5/1/1991,1.126,5.78,6.9,3343,0.3,0.002,0.12,0,8.9
6/1/1991,1.128,5.9,6.9,3351.9,0.3,-0.032,-0.08,-0.1,4.2
7/1/1991,1.096,5.82,6.8,3356.1,0.1,0.019,-0.16,0.1,-1.1
8/1/1991,1.115,5.66,6.9,3355,0.3,-0.006,-0.21,0,-0.1
9/1/1991,1.109,5.45,6.9,3354.9,0.4,-0.021,-0.24,0.1,5.2
10/1/1991,1.088,5.21,7,3360.1,0.1,0.011,-0.4,0,5.4
11/1/1991,1.099,4.81,7,3365.5,0.3,-0.023,-0.38,0.3,6.7
12/1/1991,1.076,4.43,7.3,3372.2,0.1,-0.054,-0.4,0,9
1/1/1992,1.022,4.03,7.3,3381.2,0.1,-0.016,0.03,0.1,18.8
2/1/1992,1.006,4.06,7.4,3400,0.4,0.007,-0.08,0,3.9
3/1/1992,1.013,3.98,7.4,3403.9,0.5,0.039,-0.25,0,-4.2
4/1/1992,1.052,3.73,7.4,3399.7,0.1,0.055,0.09,0.2,-1.1
5/1/1992,1.107,3.82,7.6,3398.6,0.1,0.038,-0.06,0.2,-5.2
6/1/1992,1.145,3.76,7.8,3393.4,0.4,-0.008,-0.51,-0.1,0.5
7/1/1992,1.137,3.25,7.7,3393.9,0.2,-0.015,0.05,-0.1,4.9
8/1/1992,1.122,3.3,7.6,3398.8,0.3,0,-0.08,0,11.5
9/1/1992,1.122,3.22,7.6,3410.3,0.3,-0.008,-0.12,-0.3,13.5
10/1/1992,1.114,3.1,7.3,3423.8,0.4,-0.003,-0.01,0.1,2.7
11/1/1992,1.111,3.09,7.4,3426.5,0.1,-0.033,-0.17,0,-1.8
12/1/1992,1.078,2.92,7.4,3424.7,-0.1,-0.016,0.1,-0.1,-5.6
1/1/1993,1.062,3.02,7.3,3419.1,0.5,-0.008,0.01,-0.2,-4.6
2/1/1993,1.054,3.03,7.1,3414.5,0.4,-0.002,0.04,-0.1,-2.8
3/1/1993,1.052,3.07,7,3411.7,0.3,0.026,-0.11,0.1,-0.4
4/1/1993,1.078,2.96,7.1,3411.3,0.3,0.022,0.04,0,25.6
5/1/1993,1.1,3,7.1,3436.9,0.1,-0.003,0.04,-0.1,5.5
6/1/1993,1.097,3.04,7,3442.4,0.1,-0.019,0.02,-0.1,-0.4
7/1/1993,1.078,3.06,6.9,3442,0,-0.016,-0.03,-0.1,3.7
8/1/1993,1.062,3.03,6.8,3445.7,0.3,-0.012,0.06,-0.1,6.5
9/1/1993,1.05,3.09,6.7,3452.2,0.2,0.042,-0.1,0.1,4.5
10/1/1993,1.092,2.99,6.8,3456.7,0.4,-0.026,0.03,-0.2,13.4
11/1/1993,1.066,3.02,6.6,3470.1,0.1,-0.052,-0.06,-0.1,4.4
12/1/1993,1.014,2.96,6.5,3474.5,0,-0.016,0.09,0.1,0.4
1/1/1994,0.998,3.05,6.6,3474.9,0.3,0.011,0.2,0,0.8
2/1/1994,1.009,3.25,6.6,3475.7,0.3,-0.001,0.09,-0.1,4.4
3/1/1994,1.008,3.34,6.5,3480.1,0.3,0.019,0.22,-0.1,1.2
4/1/1994,1.027,3.56,6.4,3481.3,0.1,0.02,0.45,-0.3,9.5
5/1/1994,1.047,4.01,6.1,3490.8,0.1,0.031,0.24,0,-11.3
6/1/1994,1.078,4.25,6.1,3479.5,0.3,0.028,0.01,0,8.7
7/1/1994,1.106,4.26,6.1,3488.2,0.3,0.049,0.21,-0.1,-2.5
8/1/1994,1.155,4.47,6,3485.7,0.4,-0.011,0.26,-0.1,0.4
9/1/1994,1.144,4.73,5.9,3486.1,0.3,-0.03,0.03,-0.1,-1.8
10/1/1994,1.114,4.76,5.8,3484.3,0.1,0.002,0.53,-0.2,2.9
11/1/1994,1.116,5.29,5.6,3487.2,0.1,-0.025,0.16,-0.1,-0.8
12/1/1994,1.091,5.45,5.5,3486.4,0,-0.009,0.08,0.1,6
1/1/1995,1.082,5.53,5.6,3492.4,0.4,-0.009,0.39,-0.2,-2.5
2/1/1995,1.073,5.92,5.4,3489.9,0.4,-0.001,0.06,0,1.2
3/1/1995,1.072,5.98,5.4,3491.1,0.3,0.039,0.07,0.4,8.1
4/1/1995,1.111,6.05,5.8,3499.2,0.3,0.067,-0.04,-0.2,25
5/1/1995,1.178,6.01,5.6,3524.2,0.2,0.014,-0.01,0,24.7
6/1/1995,1.192,6,5.6,3548.9,0.2,-0.038,-0.15,0.1,18.5
7/1/1995,1.154,5.85,5.7,3567.4,0,-0.031,-0.11,0,21.6
8/1/1995,1.123,5.74,5.7,3589,0.3,-0.012,0.06,-0.1,13.1
9/1/1995,1.111,5.8,5.6,3602.1,0.2,-0.024,-0.04,-0.1,11.3
10/1/1995,1.087,5.76,5.5,3613.4,0.3,-0.025,0.04,0.1,6.5
11/1/1995,1.062,5.8,5.6,3619.9,-0.1,0.009,-0.2,0,9.6
12/1/1995,1.071,5.6,5.6,3629.5,-0.1,0.019,-0.04,0,18.4
1/1/1996,1.09,5.56,5.6,3647.9,0.6,-0.001,-0.34,-0.1,13.9
2/1/1996,1.089,5.22,5.5,3661.8,0.3,0.048,0.09,0,25.1
3/1/1996,1.137,5.31,5.5,3686.9,0.5,0.094,-0.09,0.1,10.8
4/1/1996,1.231,5.22,5.6,3697.7,0.4,0.047,0.02,0,11.9
5/1/1996,1.278,5.24,5.6,3709.6,0.2,-0.019,0.03,-0.3,12.9
6/1/1996,1.259,5.27,5.3,3722.5,0.1,-0.031,0.13,0.2,14.6
7/1/1996,1.228,5.4,5.5,3737.1,0.2,-0.022,-0.18,-0.4,6.9
8/1/1996,1.206,5.22,5.1,3744,0.2,-0.004,0.08,0.1,9.4
9/1/1996,1.202,5.3,5.2,3753.4,0.3,0.002,-0.06,0,19.4
10/1/1996,1.204,5.24,5.2,3772.8,0.3,0.028,0.07,0.2,22.3
11/1/1996,1.232,5.31,5.4,3795.1,0.2,0.003,-0.02,0,23.5
12/1/1996,1.235,5.29,5.4,3818.6,0,0.001,-0.04,-0.1,16
1/1/1997,1.236,5.25,5.3,3834.6,0.3,-0.006,-0.06,-0.1,11.7
2/1/1997,1.23,5.19,5.2,3846.3,0.3,-0.025,0.2,0,14.9
3/1/1997,1.205,5.39,5.2,3861.2,0.3,-0.006,0.12,-0.1,15.8
4/1/1997,1.199,5.51,5.1,3877,0.1,0.001,-0.01,-0.2,12.2
5/1/1997,1.2,5.5,4.9,3889.2,-0.1,-0.002,0.06,0.1,16.8
6/1/1997,1.198,5.56,5,3906,0.1,-0.024,-0.04,-0.1,17.9
7/1/1997,1.174,5.52,4.9,3923.9,0.1,0.05,0.02,-0.1,33.5
8/1/1997,1.224,5.54,4.8,3957.4,0.2,0.007,0,0.1,15.7
9/1/1997,1.231,5.54,4.9,3973.1,0.2,-0.034,-0.04,-0.2,19.2
10/1/1997,1.197,5.5,4.7,3992.3,0.2,-0.026,0.02,-0.1,22.5
11/1/1997,1.171,5.52,4.6,4014.8,-0.1,-0.04,-0.02,0.1,18.1
12/1/1997,1.131,5.5,4.7,4032.9,-0.1,-0.045,0.06,-0.1,23.3
1/1/1998,1.086,5.56,4.6,4056.2,0.2,-0.037,-0.05,0,32.7
2/1/1998,1.049,5.51,4.6,4088.9,0.2,-0.032,-0.02,0.1,25.4
3/1/1998,1.017,5.49,4.7,4114.3,0.2,0.013,-0.04,-0.4,25.9
4/1/1998,1.03,5.45,4.3,4140.2,0.2,0.034,0.04,0.1,24.2
5/1/1998,1.064,5.49,4.4,4164.4,0.2,0,0.07,0.1,19.7
6/1/1998,1.064,5.56,4.5,4184.1,0.1,-0.009,-0.02,0,19.7
7/1/1998,1.055,5.54,4.5,4203.8,0.1,-0.029,0.01,0,24.9
8/1/1998,1.026,5.55,4.5,4228.7,0.1,-0.017,-0.04,0.1,38.9
9/1/1998,1.009,5.51,4.6,4267.6,0.1,0.01,-0.44,-0.1,40.1
10/1/1998,1.019,5.07,4.5,4307.7,0.2,-0.024,-0.24,-0.1,38.7
11/1/1998,0.995,4.83,4.4,4346.4,0,-0.05,-0.15,0,28.8
12/1/1998,0.945,4.68,4.4,4375.2,-0.1,-0.006,-0.05,-0.1,27.4
1/1/1999,0.939,4.63,4.3,4402.6,0.2,-0.018,0.13,0.1,22.7
2/1/1999,0.921,4.76,4.4,4425.3,0.1,0.061,0.05,-0.2,6.8
3/1/1999,0.982,4.81,4.2,4432.1,0.3,0.149,-0.07,0.1,28.6
4/1/1999,1.131,4.74,4.3,4460.7,0.7,0,0,-0.1,24.6
5/1/1999,1.131,4.74,4.2,4485.3,0,-0.017,0.02,0.1,21.9
6/1/1999,1.114,4.76,4.3,4507.2,0,0.044,0.23,0,27.3
7/1/1999,1.158,4.99,4.3,4534.5,0.3,0.063,0.08,-0.1,17.2
8/1/1999,1.221,5.07,4.2,4551.7,0.2,0.035,0.15,0,16
9/1/1999,1.256,5.22,4.2,4567.7,0.5,-0.012,-0.02,-0.1,23.8
10/1/1999,1.244,5.2,4.1,4591.5,0.2,0.007,0.22,0,19
11/1/1999,1.251,5.42,4.1,4610.5,0.1,0.022,-0.12,-0.1,27.5
12/1/1999,1.273,5.3,4,4638,0,0.016,0.15,0,28.2
1/1/2000,1.289,5.45,4,4666.2,0.3,0.088,0.28,0.1,13.2
2/1/2000,1.377,5.73,4.1,4679.4,0.6,0.139,0.12,-0.1,30.8
3/1/2000,1.516,5.85,4,4710.2,0.8,-0.051,0.17,-0.2,55.9
4/1/2000,1.465,6.02,3.8,4766.1,0.1,0.022,0.25,0.2,-12.2
5/1/2000,1.487,6.27,4,4753.9,0.1,0.146,0.26,0,17.9
6/1/2000,1.633,6.53,4,4771.8,0.5,-0.082,0.01,0,17.6
7/1/2000,1.551,6.54,4,4789.4,0.2,-0.086,-0.04,0.1,28.1
8/1/2000,1.465,6.5,4.1,4817.5,0,0.085,0.02,-0.2,35.7
9/1/2000,1.55,6.52,3.9,4853.2,0.5,-0.018,-0.01,0,16
10/1/2000,1.532,6.51,3.9,4869.2,0.2,-0.015,0,0,11.1
11/1/2000,1.517,6.51,3.9,4880.3,0.1,-0.074,-0.11,0,44.7
12/1/2000,1.443,6.4,3.9,4925,-0.1,0.004,-0.42,0.3,50.7
1/1/2001,1.447,5.98,4.2,4975.7,0.6,0.003,-0.49,0,38.4
2/1/2001,1.45,5.49,4.2,5014.1,0.4,-0.041,-0.18,0.1,57.9
3/1/2001,1.409,5.31,4.3,5072,0.2,0.143,-0.51,0.1,63.9
4/1/2001,1.552,4.8,4.4,5135.9,0.4,0.15,-0.59,-0.1,-2.9
5/1/2001,1.702,4.21,4.3,5133,0.5,-0.086,-0.24,0.2,40.5
6/1/2001,1.616,3.97,4.5,5173.5,0.2,-0.195,-0.2,0.1,29.9
7/1/2001,1.421,3.77,4.6,5203.4,-0.3,0,-0.12,0.3,33.8
8/1/2001,1.421,3.65,4.9,5237.2,0,0.101,-0.58,0.1,111.2
9/1/2001,1.522,3.07,5,5348.4,0.5,-0.207,-0.58,0.3,-11.3
10/1/2001,1.315,2.49,5.3,5337.1,-0.3,-0.144,-0.4,0.2,43.7
11/1/2001,1.171,2.09,5.5,5380.8,-0.2,-0.085,-0.27,0.2,53
12/1/2001,1.086,1.82,5.7,5433.8,-0.4,0.021,-0.09,0,20.3
1/1/2002,1.107,1.73,5.7,5454.1,0.2,0.007,0.01,0,29.3
2/1/2002,1.114,1.74,5.7,5483.4,0.4,0.135,-0.01,0,11.8
3/1/2002,1.249,1.73,5.7,5495.2,0.6,0.148,0.02,0.2,0.2
4/1/2002,1.397,1.75,5.9,5495.4,0.6,-0.005,0,-0.1,26.1
5/1/2002,1.392,1.75,5.8,5521.5,0,-0.01,0,0,25
6/1/2002,1.382,1.75,5.8,5546.5,0.1,0.015,-0.02,0,42.6
7/1/2002,1.397,1.73,5.8,5589.1,0.1,-0.001,0.01,-0.1,42.5
8/1/2002,1.396,1.74,5.7,5631.6,0.3,0.004,0.01,0,24.4
9/1/2002,1.4,1.75,5.7,5656,0.2,0.045,0,0,44.4
10/1/2002,1.445,1.75,5.7,5700.4,0.2,-0.026,-0.41,0.2,50.2
11/1/2002,1.419,1.34,5.9,5750.6,0,-0.033,-0.1,0.1,21.4
12/1/2002,1.386,1.24,6,5772,-0.2,0.072,0,-0.2,32.6
1/1/2003,1.458,1.24,5.8,5804.6,0.4,0.155,0.02,0.1,36.1
2/1/2003,1.613,1.26,5.9,5840.7,0.8,0.08,-0.01,0,20.7
3/1/2003,1.693,1.25,5.9,5861.4,0.6,-0.104,0.01,0.1,37.4
4/1/2003,1.589,1.26,6,5898.8,-0.2,-0.092,0,0.1,60.5
5/1/2003,1.497,1.26,6.1,5959.3,-0.2,-0.004,-0.04,0.2,36.7
6/1/2003,1.493,1.22,6.3,5996,0.1,0.02,-0.21,-0.1,46.7
7/1/2003,1.513,1.01,6.2,6042.7,0.1,0.107,0.02,-0.1,58.1
8/1/2003,1.62,1.03,6.1,6100.8,0.4,0.059,-0.02,0,-28
9/1/2003,1.679,1.01,6.1,6072.8,0.3,-0.115,0,-0.1,-9.2
10/1/2003,1.564,1.01,6,6063.6,-0.1,-0.052,-0.01,-0.2,5.5
11/1/2003,1.512,1,5.8,6069.1,-0.3,-0.033,-0.02,-0.1,-1.8
12/1/2003,1.479,0.98,5.7,6067.3,-0.1,0.093,0.02,0,8.2
1/1/2004,1.572,1,5.7,6075.5,0.5,0.076,0.01,-0.1,38.8
2/1/2004,1.648,1.01,5.6,6114.3,0.5,0.088,-0.01,0.2,35.8
3/1/2004,1.736,1,5.8,6150.1,0.6,0.062,0,-0.2,41.1
4/1/2004,1.798,1,5.6,6191.2,0.3,0.185,0,0,76.9
5/1/2004,1.983,1,5.6,6268.1,0.6,-0.014,0.03,0,2.4
6/1/2004,1.969,1.03,5.6,6270.5,0.3,-0.058,0.23,-0.1,13.8
7/1/2004,1.911,1.26,5.5,6284.3,-0.2,-0.033,0.17,-0.1,26.3
8/1/2004,1.878,1.43,5.4,6310.6,0.1,-0.008,0.18,0,34.7
9/1/2004,1.87,1.61,5.4,6345.3,0.2,0.13,0.15,0.1,28
10/1/2004,2,1.76,5.5,6373.3,0.5,-0.021,0.17,-0.1,26.5
11/1/2004,1.979,1.93,5.4,6399.8,0.1,-0.138,0.23,0,18.5
12/1/2004,1.841,2.16,5.4,6418.3,-0.4,-0.01,0.12,-0.1,6.2
1/1/2005,1.831,2.28,5.3,6424.5,0.2,0.079,0.22,0.1,8.3
2/1/2005,1.91,2.5,5.4,6432.8,0.6,0.169,0.13,-0.2,9.1
3/1/2005,2.079,2.63,5.2,6441.9,0.8,0.164,0.16,0,14
4/1/2005,2.243,2.79,5.2,6455.9,0.7,-0.082,0.21,-0.1,17.4
5/1/2005,2.161,3,5.1,6473.3,-0.1,-0.005,0.04,-0.1,32.5
6/1/2005,2.156,3.04,5,6505.8,0.1,0.134,0.22,0,31.6
7/1/2005,2.29,3.26,5,6537.4,0.5,0.196,0.24,-0.1,32.8
8/1/2005,2.486,3.5,4.9,6570.2,0.5,0.417,0.12,0.1,34.1
9/1/2005,2.903,3.62,5,6604.3,1.2,-0.186,0.16,0,34.3
10/1/2005,2.717,3.78,5,6638.6,0.2,-0.46,0.22,0,16.4
11/1/2005,2.257,4,5,6655,-0.8,-0.072,0.16,-0.1,26.9
